排行,證券代号,證券名稱,市值佔大盤比重
322,2545,皇翔,0.0302%
323,2401,凌陽,0.0302%
324,1234,黑松,0.0299%
325,6153,嘉聯益,0.0299%
326,6191,精成科,0.0298%
327,6579,研揚,0.0296%
328,1903,士紙,0.0295%
329,2727,王品,0.0295%
330,2034,允強,0.0294%
331,2340,台亞,0.0291%
332,1442,名軒,0.0291%
333,2455,全新,0.0291%
334,6464,台數科,0.029%
335,3545,敦泰,0.0289%
336,1225,福懋油,0.0288%
337,1519,華城,0.0287%
338,3022,威強電,0.0285%
339,2515,中工,0.0284%
340,4438,廣越,0.0283%
341,6756,威鋒電子,0.0283%
342,6541,泰福-KY,0.0282%
343,8081,致新,0.028%
344,3705,永信,0.0279%
345,2363,矽統,0.0278%
346,1419,新紡,0.0274%
347,2524,京城,0.0273%
348,2704,國賓,0.0273%
349,3673,TPK-KY,0.0273%
350,6605,帝寶,0.0271%
351,3014,聯陽,0.0269%
352,2013,中鋼構,0.0269%
353,2605,新興,0.0267%
354,6166,凌華,0.0267%
355,4763,材料-KY,0.0266%
356,4755,三福化,0.0264%
357,2367,燿華,0.0263%
358,2331,精英,0.0262%
359,6177,達麗,0.0262%
360,9930,中聯資源,0.0261%
361,2355,敬鵬,0.0261%
362,1726,永記,0.026%
363,1537,廣隆,0.0256%
364,2617,台航,0.0256%
365,3033,威健,0.0254%
366,2614,東森,0.0253%
367,1720,生達,0.0251%
368,3003,健和興,0.0249%
369,2636,台驊投控,0.0248%
370,4906,正文,0.0247%
371,5288,豐祥-KY,0.0246%
372,1532,勤美,0.0246%
373,2009,第一銅,0.0245%
374,2534,宏盛,0.0245%
375,2421,建準,0.0244%
376,1110,東泥,0.0244%
377,1709,和益,0.0242%
378,8163,達方,0.0241%
379,2010,春源,0.0236%
380,2535,達欣工,0.0233%
381,8215,明基材,0.0233%
382,6581,鋼聯,0.0233%
383,1604,聲寶,0.0232%
384,1711,永光,0.0231%
385,4927,泰鼎-KY,0.0231%
386,4968,立積,0.0231%
387,4104,佳醫,0.0228%
388,6230,尼得科超眾,0.0228%
389,1708,東鹼,0.0228%
390,2908,特力,0.0228%
391,1701,中化,0.0226%
392,8213,志超,0.0224%
393,4739,康普,0.0223%
394,1444,力麗,0.0223%
395,2329,華泰,0.0222%
396,5243,乙盛-KY,0.0221%
397,1201,味全,0.022%
398,3090,日電貿,0.0219%
399,6655,科定,0.0219%
400,6206,飛捷,0.0218%
401,1614,三洋電,0.0217%
402,2102,泰豐,0.0216%
403,8462,柏文,0.0216%
404,5222,全訊,0.0215%
405,3708,上緯投控,0.0214%
406,6790,永豐實,0.0213%
407,2314,台揚,0.0213%
408,4119,旭富,0.0212%
409,5608,四維航,0.0211%
410,6277,宏正,0.0211%
411,9926,新海,0.0211%
412,4306,炎洲,0.021%
413,1235,興泰,0.021%
414,3059,華晶科,0.021%
415,1256,鮮活果汁-KY,0.0209%
416,2480,敦陽科,0.0208%
417,5531,鄉林,0.0208%
418,1342,八貫,0.0206%
419,2028,威致,0.0205%
420,2530,華建,0.0205%
421,1714,和桐,0.0203%
422,2332,友訊,0.0203%
423,1309,台達化,0.0203%
424,6183,關貿,0.0202%
425,4746,台耀,0.0202%
426,6525,捷敏-KY,0.0201%
427,6451,訊芯-KY,0.02%
428,9942,茂順,0.02%
429,2472,立隆電,0.02%
430,1522,堤維西,0.0199%
431,8210,勤誠,0.0199%
432,1608,華榮,0.0198%
433,2497,怡利電,0.0197%
434,3504,揚明光,0.0197%
435,8039,台虹,0.0196%
436,8261,富鼎,0.0195%
437,5538,東明-KY,0.0195%
438,6139,亞翔,0.0194%
439,2476,鉅祥,0.0194%
440,5471,松翰,0.0192%
441,8028,昇陽半導體,0.0191%
442,1203,味王,0.0191%
443,8404,百和興業-KY,0.019%
444,4576,大銀微系統,0.0189%
445,2731,雄獅,0.0189%
446,2612,中航,0.0187%
447,1307,三芳,0.0186%
448,4532,瑞智,0.0185%
449,6281,全國電,0.0185%
450,8114,振樺電,0.0185%
451,2547,日勝生,0.0183%
452,2489,瑞軒,0.0182%
453,3701,大眾控,0.0182%
454,6115,鎰勝,0.0181%
455,2450,神腦,0.0181%
456,1558,伸興,0.0181%
457,2323,中環,0.018%
458,2029,盛餘,0.0179%
459,6189,豐藝,0.0179%
460,9943,好樂迪,0.0178%
461,8482,商億-KY,0.0177%
462,4977,眾達-KY,0.0177%
463,6024,群益期,0.0176%
464,5283,禾聯碩,0.0176%
465,9924,福興,0.0176%
466,3209,全科,0.0176%
467,3062,建漢,0.0173%
468,3056,總太,0.0173%
469,2114,鑫永銓,0.0173%
470,6184,大豐電,0.0173%
471,3617,碩天,0.0173%
472,9918,欣天然,0.0172%
473,6715,嘉基,0.0171%
474,1321,大洋,0.0171%
475,2536,宏普,0.0171%
476,2348,海悅,0.017%
477,2464,盟立,0.0169%
478,2387,精元,0.0169%
479,2832,台產,0.0169%
480,9905,大華,0.0169%
481,2436,偉詮電,0.0168%
482,3049,和鑫,0.0167%
483,2107,厚生,0.0167%
484,1582,信錦,0.0166%
485,2601,益航,0.0166%
486,2012,春雨,0.0165%
487,1310,台苯,0.0162%
488,3015,全漢,0.0162%
489,4935,茂林-KY,0.0162%
490,2706,第一店,0.0161%
491,1514,亞力,0.016%
492,1447,力鵬,0.016%
493,1315,達新,0.0159%
494,2433,互盛電,0.0159%
495,2239,英利-KY,0.0158%
496,2505,國揚,0.0156%
497,3712,永崴投控,0.0156%
498,4164,承業醫,0.0156%
499,3130,一零四,0.0155%
500,1583,程泰,0.0155%
501,2467,志聖,0.0154%
502,2397,友通,0.0154%
503,4960,誠美材,0.0152%
504,5234,達興材料,0.0152%
505,6235,華孚,0.0152%
506,6192,巨路,0.0151%
507,2514,龍邦,0.0151%
508,3048,益登,0.015%
509,5525,順天,0.0149%
510,5203,訊連,0.0149%
511,6706,惠特,0.0148%
512,2030,彰源,0.0148%
513,1737,臺鹽,0.0148%
514,1752,南光,0.0147%
515,2406,國碩,0.0147%
516,2007,燁興,0.0146%
517,6416,瑞祺電通,0.0145%
518,9927,泰銘,0.0144%
519,3028,增你強,0.0144%
520,2910,統領,0.0144%
521,1589,永冠-KY,0.0143%
522,5258,虹堡,0.0143%
523,4934,太極,0.0143%
524,1597,直得,0.0142%
525,3029,零壹,0.014%
526,2478,大毅,0.014%
527,5285,界霖,0.014%
528,6582,申豐,0.014%
529,3138,耀登,0.0139%
530,2233,宇隆,0.0139%
531,1219,福壽,0.0138%
532,2546,根基,0.0137%
533,2420,新巨,0.0137%
534,3416,融程電,0.0137%
535,8110,華東,0.0135%
536,6120,達運,0.0134%
537,3501,維熹,0.0133%
538,3563,牧德,0.0133%
539,3583,辛耘,0.0133%
540,2374,佳能,0.0133%
541,2375,凱美,0.0133%
542,2342,茂矽,0.0132%
543,3679,新至陞,0.0131%
544,6438,迅得,0.0131%
545,8033,雷虎,0.0129%
546,1527,鑽全,0.0129%
547,1457,宜進,0.0129%
548,1810,和成,0.0128%
549,2402,毅嘉,0.0128%
550,2527,宏璟,0.0128%
551,6689,伊雲谷,0.0128%
552,3530,晶相光,0.0127%
553,2466,冠西電,0.0127%
554,1734,杏輝,0.0127%
555,2538,基泰,0.0126%
556,2701,萬企,0.0125%
557,2228,劍麟,0.0125%
558,1455,集盛,0.0125%
559,1515,力山,0.0124%
560,1598,岱宇,0.0124%
561,1436,華友聯,0.0124%
562,2748,雲品,0.0124%
563,2459,敦吉,0.0123%
564,2484,希華,0.0123%
565,2485,兆赫,0.0123%
566,1464,得力,0.0123%
567,6743,安普新,0.0123%
568,6672,騰輝電子-KY,0.0123%
569,8105,凌巨,0.0123%
570,6477,安集,0.0122%
571,6205,詮欣,0.0122%
572,3450,聯鈞,0.0122%
573,1109,信大,0.0122%
574,1217,愛之味,0.0121%
575,1437,勤益控,0.0121%
576,1535,中宇,0.0121%
577,2419,仲琦,0.0121%
578,3305,昇貿,0.0121%
579,6504,南六,0.0121%
580,2349,錸德,0.012%
581,2305,全友,0.012%
582,2495,普安,0.0119%
583,4976,佳凌,0.0119%
584,8499,鼎炫-KY,0.0118%
585,2430,燦坤,0.0118%
586,1612,宏泰,0.0117%
587,1762,中化生,0.0116%
588,2020,美亞,0.0116%
589,4942,嘉彰,0.0115%
590,4952,凌通,0.0115%
591,5533,皇鼎,0.0114%
592,2017,官田鋼,0.0114%
593,1603,華電,0.0114%
594,2426,鼎元,0.0114%
595,2493,揚博,0.0113%
596,2414,精技,0.0112%
597,2369,菱生,0.0112%
598,1460,宏遠,0.0112%
599,2316,楠梓電,0.0112%
600,5519,隆大,0.0112%
601,4912,聯德控股-KY,0.0112%
602,6197,佳必琪,0.0111%
603,6224,聚鼎,0.0111%
604,1533,車王電,0.011%
605,2486,一詮,0.011%
606,2642,宅配通,0.0109%
607,8442,威宏-KY,0.0109%
608,9934,成霖,0.0108%
609,2852,第一保,0.0108%
610,4737,華廣,0.0107%
611,4426,利勤,0.0106%
612,8271,宇瞻,0.0105%
613,6830,汎銓,0.0104%
614,4190,佐登-KY,0.0104%
615,1517,利奇,0.0104%
616,2062,橋椿,0.0103%
617,4994,傳奇,0.0103%
618,3715,定穎投控,0.0103%
619,5706,鳳凰,0.0103%
620,2359,所羅門,0.0102%
621,2528,皇普,0.0101%
622,4764,雙鍵,0.0101%
623,4564,元翎,0.0101%
624,8021,尖點,0.01%
625,9931,欣高,0.01%
626,2616,山隆,0.01%
627,1451,年興,0.0099%
628,1108,幸福,0.0099%
629,4572,駐龍,0.0098%
630,3605,宏致,0.0098%
631,3669,圓展,0.0098%
632,6209,今國光,0.0097%
633,6283,淳安,0.0097%
634,1611,中電,0.0097%
635,1615,大山,0.0097%
636,1446,宏和,0.0096%
637,3645,達邁,0.0096%
638,4557,永新-KY,0.0096%
639,6585,鼎基,0.0095%
640,1525,江申,0.0095%
641,3266,昇陽,0.0095%
642,3149,正達,0.0094%
643,1524,耿鼎,0.0094%
644,6288,聯嘉,0.0094%
645,3622,洋華,0.0094%
646,1783,和康生,0.0092%
647,2109,華豐,0.0092%
648,2038,海光,0.0091%
649,2022,聚亨,0.0091%
650,3041,揚智,0.0091%
651,2423,固緯,0.0091%
652,3557,嘉威,0.0091%
653,6112,邁達特,0.0091%
654,9946,三發地產,0.0091%
655,9906,欣巴巴,0.009%
656,8473,山林水,0.009%
657,2405,輔信,0.009%
658,1414,東和,0.0089%
659,5546,永固-KY,0.0089%
660,4566,時碩工業,0.0089%
661,4439,冠星-KY,0.0087%
662,6799,來頡,0.0087%
663,2906,高林,0.0087%
664,1713,國化,0.0086%
665,4108,懷特,0.0086%
